,Geography,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,Bulk GTIN
0,Albany,2019-01-07 ,Conventional,0.921801566,111277,3542,95714,149,10905,968
1,Albany,2019-01-13 ,Conventional,0.906561129,115663,2921,101796,181,10073,693
2,Albany,2019-01-20 ,Conventional,0.998831048,146108,4322,123402,180,17223,981
3,Albany,2019-01-27 ,Conventional,1.052065122,80297,3380,64019,211,11066,1622
4,Albany,2019-02-03 ,Conventional,0.798757561,186953,4372,169579,358,11217,1428
5,Albany,2019-02-10 ,Conventional,0.882870237,109116,4770,91720,159,11024,1444
6,Albany,2019-02-17 ,Conventional,1.039362128,93262,4653,76693,219,10976,720
7,Albany,2019-02-24 ,Conventional,0.880905745,114022,3767,98810,201,9638,1606
8,Albany,2019-03-03 ,Conventional,1.08048977,95695,3950,79013,232,10869,1631
9,Albany,2019-03-10 ,Conventional,0.821932997,157968,3668,143421,245,10022,612
10,Albany,2019-03-17 ,Conventional,1.049817661,95304,3858,75481,231,15336,398
11,Albany,2019-03-24 ,Conventional,0.909840811,138460,3990,121153,193,12608,518
12,Albany,2019-03-31 ,Conventional,1.044839841,99901,3638,77480,219,18272,292
13,Albany,2019-04-07 ,Conventional,0.839517566,145373,4796,126468,286,13593,231
14,Albany,2019-04-14 ,Conventional,1.132011896,88281,3954,71423,242,12537,125
15,Albany,2019-04-21 ,Conventional,1.475811756,94806,3476,77649,310,13260,109
16,Albany,2019-04-28 ,Conventional,1.542950896,79953,3707,64053,257,11807,129
17,Albany,2019-05-05 ,Conventional,1.229378195,151105,5052,133087,390,12239,338
18,Albany,2019-05-12 ,Conventional,1.491083581,107711,4303,89501,235,13470,203
19,Albany,2019-05-19 ,Conventional,1.636085987,120344,3327,102539,260,13467,750
20,Albany,2019-05-26 ,Conventional,1.605431935,108192,4441,89868,246,12851,786
21,Albany,2019-06-02 ,Conventional,1.604726281,101317,3149,83967,266,13674,261
22,Albany,2019-06-09 ,Conventional,1.653283495,142480,4718,122079,205,13353,2126
23,Albany,2019-06-16 ,Conventional,1.325531453,129268,3476,111891,199,12146,1556
24,Albany,2019-06-23 ,Conventional,1.58145548,121184,2891,100712,388,13634,3559
25,Albany,2019-06-30 ,Conventional,1.505042065,100889,2844,76888,416,17445,3295
26,Albany,2019-07-07 ,Conventional,1.557649926,105531,3010,84226,304,14848,3143
27,Albany,2019-07-14 ,Conventional,1.525633873,100464,2931,83146,262,11306,2819
28,Albany,2019-07-21 ,Conventional,1.571836356,92780,2915,76354,291,11748,1472
29,Albany,2019-07-28 ,Conventional,1.653728266,86020,3606,68037,491,11722,2163
30,Albany,2019-08-04 ,Conventional,1.603503504,87359,3853,68838,458,11864,2347
31,Albany,2019-08-11 ,Conventional,1.533176947,91043,3948,70015,1841,13189,2051
32,Albany,2019-08-18 ,Conventional,1.437172984,100921,8506,76919,548,12006,2942
33,Albany,2019-08-25 ,Conventional,1.340949267,91925,9320,70246,467,10722,1170
34,Albany,2019-09-01 ,Conventional,1.471590963,99262,8470,78312,356,10502,1623
35,Albany,2019-09-08 ,Conventional,1.479116149,97456,7771,72541,431,14242,2471
36,Albany,2019-09-15 ,Conventional,1.560548123,104201,6071,87329,141,9061,1600
37,Albany,2019-09-22 ,Conventional,1.335099247,86963,4704,71035,149,9313,1762
38,Albany,2019-09-29 ,Conventional,1.363350506,141190,4024,124931,110,8592,3533
39,Albany,2019-10-06 ,Conventional,1.242837471,102577,4549,82626,96,13355,1950
40,Albany,2019-10-13 ,Conventional,1.45282281,86564,4186,70525,98,8528,3226
41,Albany,2019-10-20 ,Conventional,1.287874788,100855,4060,84434,119,9183,3060
42,Albany,2019-10-27 ,Conventional,1.351592831,108088,3527,90577,105,9331,4547
43,Albany,2019-11-03 ,Conventional,1.224583196,78202,2960,61674,118,9054,4396
44,Albany,2019-11-10 ,Conventional,1.200986894,92292,4006,76136,88,8930,3132
45,Albany,2019-11-17 ,Conventional,1.172488461,124046,4071,107364,130,8640,3842
46,Albany,2019-11-24 ,Conventional,1.174363573,82650,3579,64966,131,9779,4195
47,Albany,2019-12-01 ,Conventional,1.197096142,77929,2907,60240,78,11205,3500
48,Albany,2019-12-08 ,Conventional,1.227088386,102089,3235,83320,130,10043,5360
49,Albany,2019-12-15 ,Conventional,1.092785027,103031,3683,82520,147,10916,5765
50,Albany,2019-12-22 ,Conventional,1.247479424,99288,3264,80378,122,9383,6141
51,Albany,2019-12-29 ,Conventional,1.07580715,96724,2771,79620,173,9408,4753
52,Atlanta,2019-01-07 ,Conventional,0.953243075,728914,347480,33921,3280,83375,260859
53,Atlanta,2019-01-13 ,Conventional,0.93933677,753539,353449,31571,4541,83131,280846
54,Atlanta,2019-01-20 ,Conventional,0.94053514,751481,337496,31417,3767,111875,266926
55,Atlanta,2019-01-27 ,Conventional,0.966406642,725321,336255,33343,3559,119192,232973
56,Atlanta,2019-02-03 ,Conventional,0.878309124,891759,416982,33467,5560,117400,318350
57,Atlanta,2019-02-10 ,Conventional,0.86866022,721238,330950,26862,3382,92970,267075
58,Atlanta,2019-02-17 ,Conventional,0.916503698,682729,296423,26231,2714,95606,261755
59,Atlanta,2019-02-24 ,Conventional,0.977590855,634325,275867,26491,2894,109152,219920
60,Atlanta,2019-03-03 ,Conventional,0.999936571,674800,324228,31208,2616,118253,198496
61,Atlanta,2019-03-10 ,Conventional,0.975189978,675026,285438,25661,2893,127660,233373
62,Atlanta,2019-03-17 ,Conventional,0.953870074,738090,338956,33819,2603,120202,242509
63,Atlanta,2019-03-24 ,Conventional,1.036907654,614469,268537,27576,2624,125630,190102
64,Atlanta,2019-03-31 ,Conventional,1.006506017,647003,304606,28463,2574,116589,194770
65,Atlanta,2019-04-07 ,Conventional,0.999977918,677251,294185,24187,2972,107260,248647
66,Atlanta,2019-04-14 ,Conventional,1.064229354,702353,287585,24473,2770,95958,291567
67,Atlanta,2019-04-21 ,Conventional,1.253293499,580903,235056,27515,2517,104897,210918
68,Atlanta,2019-04-28 ,Conventional,1.346842835,540842,237051,24824,3810,96072,179085
69,Atlanta,2019-05-05 ,Conventional,1.217623934,761720,315860,27565,4323,105039,308934
70,Atlanta,2019-05-12 ,Conventional,1.207456455,648511,282653,24398,3032,104821,233607
71,Atlanta,2019-05-19 ,Conventional,1.273426212,566699,243450,26086,3302,107292,186568
72,Atlanta,2019-05-26 ,Conventional,1.234486853,619593,276046,27412,2761,109196,204178
73,Atlanta,2019-06-02 ,Conventional,1.088661964,706784,287051,25211,3174,100374,290974
74,Atlanta,2019-06-09 ,Conventional,1.105597247,681095,295334,25115,2511,100866,257270
75,Atlanta,2019-06-16 ,Conventional,1.243542772,604359,265922,23613,2474,99795,212555
76,Atlanta,2019-06-23 ,Conventional,1.303583196,594258,290545,24352,2457,112535,164370
77,Atlanta,2019-06-30 ,Conventional,1.312392284,609140,257210,21365,2464,128009,200093
78,Atlanta,2019-07-07 ,Conventional,1.354492124,622716,284921,25711,2397,119697,189990
79,Atlanta,2019-07-14 ,Conventional,1.3821004,562006,235022,23859,2249,131393,169483
80,Atlanta,2019-07-21 ,Conventional,1.436340901,541490,217572,22989,2416,110138,188376
81,Atlanta,2019-07-28 ,Conventional,1.429623023,530315,211056,20897,2368,103808,192186
82,Atlanta,2019-08-04 ,Conventional,1.354063842,580104,231631,22542,2525,113817,209587
83,Atlanta,2019-08-11 ,Conventional,1.302578953,564960,213198,22498,2385,127189,199690
84,Atlanta,2019-08-18 ,Conventional,1.285052142,583062,223913,21467,2040,125474,210168
85,Atlanta,2019-08-25 ,Conventional,1.248584316,621590,237308,22525,2076,118920,240761
86,Atlanta,2019-09-01 ,Conventional,1.12041939,670321,249226,20284,1894,130894,268024
87,Atlanta,2019-09-08 ,Conventional,1.132249584,644850,265569,22850,2152,110275,244004
88,Atlanta,2019-09-15 ,Conventional,1.224030933,615628,271488,23755,2045,91265,227074
89,Atlanta,2019-09-22 ,Conventional,1.211891196,612766,238128,46544,1764,106990,219339
90,Atlanta,2019-09-29 ,Conventional,1.202171289,623785,216354,73628,1723,104820,227261
91,Atlanta,2019-10-06 ,Conventional,1.074874802,690908,229672,84707,1854,109624,265051
92,Atlanta,2019-10-13 ,Conventional,1.12397472,608311,220491,45499,1592,105802,234927
93,Atlanta,2019-10-20 ,Conventional,1.053240717,608646,234020,34750,1682,105836,232358
94,Atlanta,2019-10-27 ,Conventional,0.952336452,666771,254423,31458,1683,92818,286389
95,Atlanta,2019-11-03 ,Conventional,0.98813726,632380,252139,29286,1691,97723,251541
96,Atlanta,2019-11-10 ,Conventional,1.10613399,576218,235668,27175,1721,104321,207332
97,Atlanta,2019-11-17 ,Conventional,1.006923903,616064,249661,27085,1671,96351,241298
98,Atlanta,2019-11-24 ,Conventional,0.990587767,550466,210888,23463,1599,110081,204435
99,Atlanta,2019-12-01 ,Conventional,1.033920531,500128,200455,22470,1184,103113,172907
100,Atlanta,2019-12-08 ,Conventional,1.050683298,577423,257600,25931,1526,95249,197117
101,Atlanta,2019-12-15 ,Conventional,1.01784049,552775,243003,23426,1531,89660,195155
102,Atlanta,2019-12-22 ,Conventional,1.032862331,525261,232448,24022,1489,87144,180158
103,Atlanta,2019-12-29 ,Conventional,0.986676238,557515,245992,23581,1267,77407,209267
104,Baltimore/Washington,2019-01-07 ,Conventional,1.381834602,805565,91613,477451,7765,218167,10568
105,Baltimore/Washington,2019-01-13 ,Conventional,1.408329032,835323,129021,454925,10258,227752,13367
106,Baltimore/Washington,2019-01-20 ,Conventional,1.34535075,871220,107633,437312,7804,302880,15592
107,Baltimore/Washington,2019-01-27 ,Conventional,1.255976006,906614,104596,563158,8389,213029,17442
108,Baltimore/Washington,2019-02-03 ,Conventional,1.211949422,1035433,151388,548781,13442,303984,17837
109,Baltimore/Washington,2019-02-10 ,Conventional,1.208455599,921136,114265,570672,9118,213897,13183
110,Baltimore/Washington,2019-02-17 ,Conventional,1.319409171,776565,103677,445548,10022,204665,12653
111,Baltimore/Washington,2019-02-24 ,Conventional,1.243534435,863627,103326,537642,8617,195523,18518
112,Baltimore/Washington,2019-03-03 ,Conventional,1.417152272,791759,103179,436414,9335,225463,17368
113,Baltimore/Washington,2019-03-10 ,Conventional,1.31037892,855023,95962,499965,10476,234709,13911
114,Baltimore/Washington,2019-03-17 ,Conventional,1.266191201,897339,103531,454342,8079,317118,14269
115,Baltimore/Washington,2019-03-24 ,Conventional,1.335285464,888137,146603,452965,9407,262031,17130
116,Baltimore/Washington,2019-03-31 ,Conventional,1.255490008,924728,97750,400958,8566,399762,17692
